상권명,자치구,법정동,엑스좌표_값,와이좌표_값,아파트_단지_수,아파트_평균_면적,주중_매출_금액,주말_매출_금액,당월_매출_건수,시간대_11~14_매출_금액
독립문역 1번,종로구,무악동,196220,452912,4,65,57005561,20753822,9601,27651222
세검정초등학교,종로구,부암동,196389,455998,69,78,18752986,10502826,2448,8429638
세검정,종로구,부암동,196688,455706,41,91,16900831,13373761,2125,11157934
부암동주민센터,종로구,부암동,196701,454714,2,93,65188437,45472824,6359,33463255
사직공원(한국사회과학도서관),종로구,사직동,196895,452714,100,51,323973,208468,51,208469
배화여자대학교(박노수미술관),종로구,청운효자동,197093,453418,145,57,1438298805,957738022,200830,740412130
자하문터널,종로구,부암동,196991,455057,45,79,136177776,150275449,13323,65343756
성곡미술관,종로구,사직동,197292,452641,16,87,391019802,141707431,44132,323136090
체부동홍종문가옥,종로구,사직동,197340,453202,5,87,15198171,11842375,2079,7940213
경복고등학교,종로구,청운효자동,197484,453952,12,91,13602725,8318496,2154,11350949
청와대사랑채,종로구,청운효자동,197585,453623,12,89,172043629,79730563,22613,107819850
평창동동측,종로구,평창동,197827,457040,22,113,55805158,40786047,4811,43375487
정독도서관,종로구,가회동,198581,453781,10,164,78678279,70761647,7665,27167744
중앙고등학교,종로구,가회동,198883,453690,112,58,160175627,80126172,25074,104135058
서울국제고등학교,종로구,혜화동,199598,454302,102,54,50676101,10644869,14796,26553824
성균관대학교,종로구,혜화동,199759,453776,27,49,381828464,224961462,75039,199538610
경신고등학교,종로구,혜화동,199921,454166,33,58,69070924,17465738,8937,36548978
서울대병원,종로구,이화동,200139,453265,45,37,532955712,110619029,126182,259674370
혜회동주민센터,종로구,혜화동,200121,454192,12,47,79149890,48699049,12178,44434194
혜화역 1번,종로구,이화동,200507,453618,101,50,87216506,65475981,20035,50105808
이화달팽이길,종로구,이화동,200575,452995,23,54,124079104,40077167,17031,89462112
동대문역 1번,종로구,창신2동,200934,452953,124,52,6268364,3358776,2211,3490093
